Train loss, Validation loss, Train R2, Validation R2
1.9318215642124414,1.0248410776257515,-14.453398946296371,-3.202121319669198
0.3932776628062129,0.43019016459584236,-1.7957621941740072,-1.970053354668319
0.3786640940234065,0.3106613177806139,-1.7199778859515018,-0.43466717145168515
0.3054598607122898,0.3411451610736549,-2.0138836765668184,-0.2894529554246712
0.2752858707681298,0.2947284793481231,-1.4387388020787815,-0.37375400554426863
0.2617983967065811,0.2890090309083462,-1.165516523404119,-0.34373954016648345
0.25636889040470123,0.28628215845674276,-1.229761098649676,-0.21673289134946513
0.24487844202667475,0.2755660191178322,-1.1073466545445245,-0.21633410699540817
0.2346834298223257,0.2694310676306486,-0.9505189462601731,-0.19855922824584524
0.2278333306312561,0.26328875217586756,-0.8867719949210215,-0.1512694089546586
0.2185793137177825,0.25517074950039387,-0.7814480228678728,-0.1277207192998741
0.20992938615381718,0.24757120665162802,-0.6835970789548688,-0.09200586760997034
0.20182510279119015,0.24106249772012234,-0.6056072737110793,-0.060054830212290286
0.19350398983806372,0.2319715116173029,-0.5184040793401326,-0.02492974692144042
0.18558640405535698,0.22495833691209555,-0.43997101353872303,0.01001361442475559
0.1774475034326315,0.2156988363713026,-0.35905228203400175,0.03988581940373276
0.17011845763772726,0.20745678525418043,-0.29693142783416604,0.08544996773483457
0.16195294447243214,0.1972552202641964,-0.22380294834628592,0.12608253749377848
0.15488853910937905,0.18917124066501856,-0.16693317754011844,0.1743570227170633
0.14744071895256639,0.18057346856221557,-0.10490104869971331,0.20118151210033366
0.1412373105995357,0.1730748782865703,-0.060523645783226464,0.24044825001812317
0.13420403003692627,0.16515608178451657,-0.003177570043367939,0.26716780948979635
0.12842705845832825,0.15785692539066076,0.034415959623399404,0.29612856076457644
0.12250676052644849,0.15175852831453085,0.0793330426643638,0.322240740482026
0.11750079551711679,0.14448291808366776,0.10502790298139028,0.34778166028331514
0.11189443524926901,0.13853775337338448,0.14557121415992427,0.3718068414697244
0.10708392318338156,0.1330974716693163,0.17569022905561377,0.39321435070387956
0.10145123396068811,0.12820349913090467,0.22275344312091475,0.4109016390492342
0.10008990904316306,0.12127344915643334,0.2111603063970306,0.4346800411872348
0.09450940880924463,0.11713792523369193,0.2523478243136406,0.4482974957828681
0.0911201648414135,0.11168566811829805,0.25701759901330556,0.469344166342396
0.08622110495343804,0.10799334896728396,0.29333304420396034,0.47914361451955223
0.08338093408383429,0.10333826020359993,0.3075670809982722,0.49444939421284567
0.08018029481172562,0.09960889117792249,0.32574474509139695,0.5096920895148248
0.0765318835619837,0.09568395046517253,0.34667679358871234,0.523271083910554
0.07297541806474328,0.09086914919316769,0.3654807048382308,0.5420941166342829
0.07011820306070149,0.08732313150539994,0.3845472023403158,0.5592690386824094
0.06771949445828795,0.08346565533429384,0.39876884730477424,0.5761868188570652
0.06433903542347252,0.0807713707908988,0.4250387031209056,0.5807898724628313
0.06254099193029106,0.07829183014109731,0.43981412919089824,0.5908570448350924
0.06038790172897279,0.0746778657194227,0.45217778238985895,0.6097394082089933
0.05671882373280823,0.07121940702199936,0.474259703598383,0.6261194958030192
0.05385550018399954,0.06857374287210405,0.49471742593408957,0.6360145756692652
0.05229135660920292,0.0660059698857367,0.5049926630321092,0.6495273057886326
0.05023344384972006,0.06255889474414289,0.5159855991112962,0.6671596019675722
0.047559477970935404,0.05970761529169977,0.5356148286798136,0.6803960864272734
0.04507946292869747,0.057756612775847316,0.5571886176513587,0.6954415044406577
0.04342818108852953,0.054247224470600486,0.5576353203346331,0.7047116222102348
0.040661403676494956,0.053373394068330526,0.5906091272526754,0.7146074489623024
0.039204725064337254,0.051385590340942144,0.6034014568817451,0.7281417952414684
0.03792490885825828,0.04824675736017525,0.6070223553172265,0.7368369585399401
0.03557551425183192,0.04583164362702519,0.6251779174218898,0.7498704478562107
0.033599189249798656,0.044639976462349296,0.6441952252306069,0.7589912360347165
0.03233121318044141,0.04327093681786209,0.6550314940486436,0.7639224359011442
0.030849502014461905,0.04113574011716992,0.6670950934980475,0.7739873965667692
0.029350509634241462,0.03963901579845697,0.6814810145500544,0.7827380736049108
0.02813076548045501,0.0383023030590266,0.6899608289604976,0.7878856121122707
0.02691777952713892,0.036577086546458304,0.7014952528072419,0.796876811696573
0.025535583728924394,0.035163489170372486,0.7125381906277013,0.8032417429387315
0.024101488816086203,0.03400233434513211,0.7280698963391117,0.8108160555533598
0.023077826714143157,0.03277485736180097,0.7367497258057907,0.8152917574678549
0.022238068020669743,0.03114266408374533,0.7412110625050301,0.8205314184746932
0.02112672501243651,0.029931425873655826,0.7518939661448932,0.8261600687661896
0.020041939889779314,0.02903395314933732,0.7627466973691767,0.8304111492077609
0.019124112266581506,0.02821027021855116,0.7728369079883773,0.8346071948934963
0.018261214048834518,0.027278957015369087,0.7819489261733524,0.838848818602181
0.017504103016108274,0.0263533751713112,0.7892183576469483,0.8423560855681436
0.016631697944831103,0.0256031941389665,0.7981478365761927,0.8461868392134418
0.01594035650487058,0.024758169485721737,0.8049971114659323,0.8493478186733103
0.015272208984242752,0.02407515945378691,0.8121306350190232,0.8523717671478742
0.014697700331453234,0.023166700266301632,0.817373538818552,0.8557140239847841
0.013992099644383416,0.022545323707163334,0.8259201953113914,0.8614942241076118
0.013505901646567509,0.022076824214309454,0.8322980269943872,0.8639214926892652
0.012911845013150014,0.021280259708873928,0.8366772161923036,0.8687079114515799
0.012561853087390773,0.020781209459528327,0.8412928478006607,0.8704485625855243
0.012121415580622852,0.020259139826521277,0.8449636542750364,0.8731031561633849
0.011793487588874996,0.019775076885707676,0.8486972502488843,0.8753165573501782
0.011396422574762255,0.01928432291606441,0.8526709009392064,0.8788756433168062
0.01103742809209507,0.018764129956252873,0.8571129442810477,0.8823759920177748
0.01069958102016244,0.018448929709848017,0.861146596588843,0.883527046745213
0.010278920337441377,0.01802437985315919,0.8672440868678544,0.8873859256663821
0.00995885906741023,0.017547131283208728,0.8710686983070726,0.8905737408453982
0.009603680184227414,0.01706257276237011,0.8741034748698983,0.8934136148562868
0.00939578955876641,0.016633520368486643,0.8759053562268075,0.895521323583775
0.009190919867251068,0.016287883539916947,0.8787196865410722,0.8973309177516946
0.008962536638136953,0.016153828299138695,0.8826042355787054,0.8983941113148324
